profile_id,text,position_raw,department_true,department_pred,department_conf,seniority_true,seniority_pred,seniority_conf
0,prokurist,Prokurist,Other,Other,1.0,Management,Lead,0.6527005546138718
1,solutions architect,Solutions Architect,Information Technology,Information Technology,1.0,Senior,Senior,0.3302738771596004
2,medizintechnik beratung,Medizintechnik Beratung,Consulting,Other,0.31134044901417024,Senior,Senior,0.4490623706140772
3,director expansion de negocio,Director expansión de negocio.,Business Development,Business Development,1.0,Director,Director,1.0
4,apl ansvarig samordning,"APL-ansvarig, samordning",Administrative,Other,0.2726600002912511,Lead,Senior,0.4175199924506954
5,kaufmannischer leiter,Kaufmännischer Leiter,Sales,Other,0.28346358610212447,Lead,Lead,0.9456223560990642
6,lab supervisor,Lab-Supervisor,Other,Other,0.3275301395119918,Lead,Senior,0.39184448230192986
7,human resources generalist,Human Resources Generalist,Human Resources,Human Resources,0.9938932328716737,Senior,Senior,0.39700162786988125
8,managing director,Managing Director,Other,Other,1.0,Management,Director,1.0
9,meister,Meister,Other,Other,1.0,Lead,Senior,0.4346824524318555
10,applikation analyst senior,Applikation Analyst Senior,Information Technology,Information Technology,1.0,Senior,Senior,1.0
11,set lighting,Set Lighting,Other,Other,1.0,Senior,Senior,0.41185242159105717
12,projektmanager,Projektmanager,Project Management,Project Management,0.9888288429224816,Senior,Lead,1.0
13,leistungssachbearbeiter sgb ii,Leistungssachbearbeiter SGB II,Other,Other,0.2715658520154976,Senior,Senior,0.367890507663976
14,energy and sustainability consultant bei,energy and sustainability consultant bei,Consulting,Consulting,0.6991954488000087,Senior,Senior,0.6781889003420585
15,purchasing manager,Purchasing Manager,Purchasing,Purchasing,0.9558614077077306,Senior,Lead,1.0
16,geschaftsfuhrer,Geschäftsführer,Other,Other,1.0,Management,Management,0.9994884898898059
17,abfallberaterin,Abfallberaterin,Other,Other,0.2726600002912511,Senior,Senior,0.4175199924506954
18,senior project manager,Senior Project Manager,Project Management,Project Management,1.0,Senior,Lead,1.0
19,inspektør,inspektør,Other,Other,0.2726600002912511,Senior,Senior,0.4175199924506954
20,dr phil,Dr. phil.,Other,Other,1.0,Senior,Senior,0.3867428998805432
21,geschaftsfuhrer cmo,"Geschäftsführer, CMO",Marketing,Other,1.0,Management,Management,0.9983219325621602
22,bereichsleiter maschinen,Bereichsleiter Maschinen,Other,Other,0.2885157626480236,Lead,Lead,0.7788008202989543
23,principal rf design engineer,Principal RF Design Engineer,Information Technology,Information Technology,1.0,Senior,Lead,1.0
24,physician assistant,Physician Assistant,Other,Other,1.0,Senior,Senior,0.9679395529202044
25,unternehmensinhaber,Unternehmensinhaber,Other,Other,0.2726600002912511,Management,Senior,0.4175199924506954
26,consultor de vendas,Consultor de vendas,Sales,Sales,1.0,Senior,Senior,0.50598790053933
27,ceo founder,CEO/Founder,Other,Other,1.0,Management,Management,1.0
28,sandblast and prep,Sandblast and prep,Other,Other,0.3818281145119591,Senior,Senior,0.27956352891982383
29,professor,Professor,Other,Other,1.0,Senior,Senior,0.4175199924506954
30,qualifizierter kreditsachbearbeiter im risikorelevanten kreditgeschaft,Qualifizierter Kreditsachbearbeiter im risikorelevanten Kreditgeschäft,Other,Other,1.0,Senior,Senior,0.3452953788880376
31,director,Director,Other,Other,1.0,Director,Director,1.0
32,it systems and network engineer,IT Systems and Network Engineer,Information Technology,Information Technology,1.0,Senior,Senior,0.5745775177491846
33,it teamleiter,IT-Teamleiter,Information Technology,Information Technology,1.0,Lead,Lead,0.8648989688545776
34,senior project manager,Senior Project Manager,Project Management,Project Management,1.0,Senior,Lead,1.0
35,geschaftsfuhrer,Geschäftsführer,Other,Other,1.0,Management,Management,0.9994884898898059
36,head of hr chro,Head of HR/CHRO,Human Resources,Human Resources,0.9980625468737083,Lead,Director,1.0
37,chief scientific officer,Chief Scientific Officer,Other,Other,0.28144071879749005,Management,Management,1.0
38,office associate,Office Associate,Administrative,Other,0.22378276478660183,Junior,Junior,1.0
39,human resources consultant,Human Resources Consultant,Consulting,Human Resources,0.9098390179764764,Senior,Senior,0.7305495408525194
40,manager,Manager,Other,Other,0.28144101457522197,Senior,Lead,1.0
41,managing director,Managing Director,Other,Other,1.0,Management,Director,1.0
42,alleinvorstand roto frank holding ag,Alleinvorstand Roto Frank Holding AG,Other,Other,1.0,Management,Senior,0.39170266007161514
43,duales studium diplom finanzwirt,Duales Studium Diplom Finanzwirt,Other,Other,0.2726600002912511,Junior,Senior,0.4175199924506954
44,product manager,Product Manager,Project Management,Other,0.25764817479885194,Senior,Lead,1.0
45,reporter,Reporter,Other,Other,0.2726600002912511,Senior,Senior,0.4175199924506954
46,geschaftsfuhrer,Geschäftsführer,Other,Other,1.0,Management,Management,0.9994884898898059
47,member of the advisory board,Member of the Advisory Board,Other,Other,0.3098779457228115,Management,Senior,0.3095421342720626
48,cfo,CFO,Other,Other,1.0,Management,Management,1.0
49,geschaftsfuhrer,Geschäftsführer,Other,Other,1.0,Management,Management,0.9994884898898059
50,director sales,Director Sales,Sales,Other,1.0,Director,Director,1.0
51,sub stream lead simplify turnaround programs,Sub-Stream Lead Simplify | Turnaround Programs,Project Management,Other,0.23293613876502245,Lead,Lead,1.0
52,chief revenue officer cro,Chief Revenue Officer (CRO),Sales,Other,0.2543340611685199,Management,Management,1.0
53,vice president,Vice President,Other,Other,0.31180424336474327,Management,Director,1.0
54,business development manager,Business Development Manager,Business Development,Sales,1.0,Senior,Lead,1.0
55,projektleiterin bildung,Projektleiterin Bildung,Other,Other,0.4025413627331064,Lead,Lead,0.7379620739246463
56,co owner,Co Owner,Other,Other,1.0,Management,Management,1.0
57,practice leader data valorization strategy,"Practice Leader, Data Valorization Strategy",Consulting,Other,0.26895140605633355,Lead,Senior,0.3526667632351134
58,is guvenligi,iş güvenliği,Other,Other,0.2762816329384803,Senior,Senior,0.3879512060450066
59,geschaftsfuhrer bei giganet services gmbh,Geschäftsführer bei Giganet Services GmbH,Other,Other,1.0,Management,Management,0.9027788408328671
60,strategic design director,Strategic Design Director,Marketing,Marketing,1.0,Director,Director,1.0
61,museumspadagoge,Museumspädagoge,Other,Other,0.2726600002912511,Senior,Senior,0.4175199924506954
62,technical team lead,Technical Team Lead,Information Technology,Information Technology,1.0,Lead,Senior,0.5232522971125583
63,managing director,Managing Director,Other,Other,1.0,Management,Director,1.0
64,gesellschafter,Gesellschafter,Other,Other,0.2683674120370323,Management,Management,0.6048757311260987
65,maschinenbautechniker,Maschinenbautechniker,Other,Other,0.2726600002912511,Senior,Senior,0.4175199924506954
66,technical customer service manager flexible packaging,Technical Customer Service Manager - Flexible Packaging,Customer Support,Information Technology,1.0,Lead,Lead,1.0
67,java software engineer,Java Software Engineer,Information Technology,Information Technology,1.0,Senior,Senior,0.5912530950131767
68,new business manager,New Business Manager,Business Development,Business Development,1.0,Lead,Lead,1.0
69,strategic engagement manager,Strategic Engagement Manager,Business Development,Other,0.2258906128545036,Lead,Lead,1.0
70,projektmanager,Projektmanager,Project Management,Project Management,0.9888288429224816,Senior,Lead,1.0
71,innovationsberater,Innovationsberater,Consulting,Other,0.2726600002912511,Senior,Senior,0.4175199924506954
72,head of aws preseed and seedfinancing innovative solutions,Head of aws Preseed and Seedfinancing - Innovative Solutions,Other,Other,0.2780027630039394,Lead,Director,1.0
73,director of product management,Director of Product Management,Project Management,Other,1.0,Director,Director,1.0
74,executive director of therapies and developmental services,Executive Director of Therapies and Developmental Services,Other,Other,1.0,Director,Director,1.0
75,technical product developer data scientist,Technical Product Developer & Data Scientist,Information Technology,Information Technology,1.0,Senior,Senior,0.5566088698466757
76,projektmanager,Projektmanager,Project Management,Project Management,0.9888288429224816,Senior,Lead,1.0
77,project engineer process technology future farming,Project Engineer Process Technology - Future Farming,Information Technology,Information Technology,1.0,Senior,Senior,0.6614338268602784
78,kurucu ortak,Kurucu Ortak,Other,Other,0.2726600002912511,Management,Senior,0.39438883405411085
79,digital marketing manager,Digital Marketing Manager,Marketing,Marketing,1.0,Senior,Lead,1.0
80,trainer docent,Trainer/docent,Human Resources,Other,0.25387102004168205,Senior,Senior,0.3719683957259615
81,procurement manager strategische inkoop,Procurement Manager Strategische Inkoop,Purchasing,Other,0.21764484095676434,Senior,Lead,1.0
82,conversion rate optimization manager,Conversion Rate Optimization Manager,Marketing,Other,0.2826163294869129,Senior,Lead,1.0
83,partner,Partner,Business Development,Other,0.20879110231908835,Management,Senior,0.37284978676797503
84,lead naval architect,Lead Naval Architect,Other,Information Technology,1.0,Lead,Senior,0.3351249648378668
85,inside sales,Inside Sales,Sales,Sales,1.0,Senior,Senior,0.39476211464872873
86,key account manager,Key-Account-Manager,Sales,Sales,1.0,Senior,Lead,1.0
87,dr,Dr.,Other,Other,0.26874857315742495,Senior,Senior,0.3867428998805432
88,ingenieur,Ingenieur,Information Technology,Information Technology,1.0,Senior,Senior,0.4064847411924436
89,managing director,Managing Director,Other,Other,1.0,Management,Director,1.0
90,berufskraftfahrer,Berufskraftfahrer,Other,Other,0.2726600002912511,Senior,Senior,0.4175199924506954
91,head of glass technology,Head of Glass Technology,Other,Information Technology,1.0,Lead,Director,1.0
92,kaltetechniker,Kältetechniker,Other,Other,0.2726600002912511,Senior,Senior,0.4175199924506954
93,key account manager,Key-Account-Manager,Sales,Sales,1.0,Senior,Lead,1.0
94,geschaftsfuhrer,Geschäftsführer,Other,Other,1.0,Management,Management,0.9994884898898059
95,accounting manager,Accounting Manager,Other,Other,0.28144101457522197,Lead,Lead,1.0
96,interims technical manager,Interims Technical Manager,Information Technology,Information Technology,1.0,Lead,Lead,1.0
97,project manager,Project Manager,Project Management,Project Management,1.0,Senior,Lead,1.0
98,management consultant information security and privacy,Management Consultant Information Security and Privacy,Consulting,Information Technology,1.0,Senior,Senior,0.9170670107459004
99,buroleiter pressesprecher,Büroleiter | Pressesprecher,Administrative,Other,0.2816150696620965,Lead,Senior,0.4697796108510163
100,titolare,titolare,Other,Other,0.2726600002912511,Management,Senior,0.4175199924506954
101,departementssekretar finanz,Departementssekretär Finanz,Other,Other,0.301142821148815,Senior,Senior,0.3555873805288719
102,managing director,Managing Director,Other,Other,1.0,Management,Director,1.0
103,officer,officer,Administrative,Other,0.27470944743917475,Senior,Management,0.9464836534016238
104,senior berater,Senior Berater,Consulting,Consulting,0.9834944229288237,Senior,Senior,1.0
105,lehrbeauftragter,Lehrbeauftragter,Consulting,Other,0.2726600002912511,Lead,Senior,0.4175199924506954
