profile_id,text,department_true,department_pred,department_conf,seniority_true,seniority_pred,seniority_conf
0,prokurist,Other,Sales,0.36458077718638215,Management,Lead,0.6469967556940004
1,solutions architect,Information Technology,Information Technology,0.33078164138689936,Senior,Lead,0.3160129735077155
2,medizintechnik beratung,Consulting,Project Management,0.3814505240189272,Senior,Lead,0.4547454285891109
3,director expansion de negocio,Business Development,Marketing,0.24197279883029715,Director,Director,0.9741066673340028
4,apl ansvarig samordning,Administrative,Sales,0.18854638607078095,Lead,Lead,0.43310793587396607
5,kaufmannischer leiter,Sales,Project Management,0.26619168625294126,Lead,Lead,0.9283810429504239
6,lab supervisor,Other,Sales,0.2131866370806424,Lead,Lead,0.4123113493071824
7,human resources generalist,Human Resources,Human Resources,0.9854029413166241,Senior,Lead,0.4086799873558308
8,managing director,Other,Sales,0.2407556881151983,Management,Director,0.9989187342413034
9,meister,Other,Sales,0.18854638607078095,Lead,Lead,0.43310793587396607
10,applikation analyst senior,Information Technology,Business Development,0.17202825654010148,Senior,Junior,0.7734906527976956
11,set lighting,Other,Sales,0.18854638607078095,Senior,Lead,0.43310793587396607
12,projektmanager,Project Management,Project Management,0.9628842755934908,Senior,Lead,0.3713196136427504
13,leistungssachbearbeiter sgb ii,Other,Sales,0.18854638607078095,Senior,Lead,0.363222177171345
14,energy and sustainability consultant bei,Consulting,Consulting,0.6449118982333648,Senior,Senior,0.6348107603669649
15,purchasing manager,Purchasing,Purchasing,0.9497457551384028,Senior,Senior,0.8569245827705312
16,geschaftsfuhrer,Other,Sales,0.2862906362490686,Management,Management,0.9984099749604972
17,abfallberaterin,Other,Sales,0.18854638607078095,Senior,Lead,0.43310793587396607
18,senior project manager,Project Management,Project Management,0.9451495187563995,Senior,Senior,0.9949296314583026
19,inspektør,Other,Sales,0.18854638607078095,Senior,Lead,0.43310793587396607
20,dr phil,Other,Sales,0.18854638607078095,Senior,Lead,0.3916513721835998
21,geschaftsfuhrer cmo,Marketing,Sales,0.2528210795824542,Management,Management,0.9962707714705258
22,bereichsleiter maschinen,Other,Marketing,0.210244394503589,Lead,Lead,0.9365917856063809
23,principal rf design engineer,Information Technology,Project Management,0.210693588830293,Senior,Senior,0.6310229680403724
24,physician assistant,Other,Marketing,0.1901216187139902,Senior,Senior,0.9631205848574773
25,unternehmensinhaber,Other,Sales,0.18854638607078095,Management,Lead,0.43310793587396607
26,consultor de vendas,Sales,Marketing,0.33134468425736074,Senior,Lead,0.5249814006086996
27,ceo founder,Other,Information Technology,0.19164771246081957,Management,Management,0.9858810469121941
28,sandblast and prep,Other,Marketing,0.2092542436973643,Senior,Lead,0.23556858087827137
29,professor,Other,Sales,0.18854638607078095,Senior,Lead,0.43310793587396607
30,qualifizierter kreditsachbearbeiter im risikorelevanten kreditgeschaft,Other,Sales,0.2897543292860915,Senior,Lead,0.33976250517686635
31,director,Other,Sales,0.28335753203946296,Director,Director,0.9999999536441299
32,it systems and network engineer,Information Technology,Information Technology,0.5230255205463679,Senior,Senior,0.5155691686032771
33,it teamleiter,Information Technology,Information Technology,0.828860376752239,Lead,Lead,0.8492058982983652
34,senior project manager,Project Management,Project Management,0.9451495187563995,Senior,Senior,0.9949296314583026
35,geschaftsfuhrer,Other,Sales,0.2862906362490686,Management,Management,0.9984099749604972
36,head of hr chro,Human Resources,Human Resources,0.9822011472522597,Lead,Lead,0.9723820572360081
37,chief scientific officer,Other,Marketing,0.18834678170027913,Management,Management,0.9929972250119509
38,office associate,Administrative,Project Management,0.1701702030479916,Junior,Junior,0.7533328932117621
39,human resources consultant,Consulting,Human Resources,0.9063262039282182,Senior,Senior,0.6728072458547446
40,manager,Other,Sales,0.274865246724202,Senior,Senior,0.9999987695614801
41,managing director,Other,Sales,0.2407556881151983,Management,Director,0.9989187342413034
42,alleinvorstand roto frank holding ag,Other,Project Management,0.2607941322009862,Management,Lead,0.3772970639008368
43,duales studium diplom finanzwirt,Other,Sales,0.18854638607078095,Junior,Lead,0.43310793587396607
44,product manager,Project Management,Information Technology,0.21806859155961522,Senior,Senior,0.972385581113636
45,reporter,Other,Sales,0.18854638607078095,Senior,Lead,0.43310793587396607
46,geschaftsfuhrer,Other,Sales,0.2862906362490686,Management,Management,0.9984099749604972
47,member of the advisory board,Other,Sales,0.21200902111579345,Management,Senior,0.31388745431225196
48,cfo,Other,Sales,0.18854638607078095,Management,Lead,0.37482814472059023
49,geschaftsfuhrer,Other,Sales,0.2862906362490686,Management,Management,0.9984099749604972
50,director sales,Sales,Sales,0.9897317469240067,Director,Director,0.9999558283250461
51,sub stream lead simplify turnaround programs,Project Management,Information Technology,0.1849238354147231,Lead,Management,0.3264375082276813
52,chief revenue officer cro,Sales,Marketing,0.17659093806027215,Management,Management,0.9564095374217055
53,vice president,Other,Sales,0.19976553382783788,Management,Management,0.9976817131323098
54,business development manager,Business Development,Business Development,0.9963616398643272,Senior,Senior,0.9844833343871576
55,projektleiterin bildung,Other,Project Management,0.7012412939528797,Lead,Lead,0.794963983650542
56,co owner,Other,Information Technology,0.1901735695500265,Management,Management,0.9700644759769138
57,practice leader data valorization strategy,Consulting,Information Technology,0.21532176354416402,Lead,Lead,0.37129042582150046
58,is guvenligi,Other,Sales,0.19964312896266473,Senior,Lead,0.4040496774475856
59,geschaftsfuhrer bei giganet services gmbh,Other,Sales,0.2452647144956509,Management,Management,0.8281306099840119
60,strategic design director,Marketing,Project Management,0.2086191866190818,Director,Director,0.9853333859765233
61,museumspadagoge,Other,Sales,0.18854638607078095,Senior,Lead,0.43310793587396607
62,technical team lead,Information Technology,Sales,0.19581694983615883,Lead,Senior,0.423256674153648
63,managing director,Other,Sales,0.2407556881151983,Management,Director,0.9989187342413034
64,gesellschafter,Other,Sales,0.19220838293750406,Management,Management,0.6579660830956823
65,maschinenbautechniker,Other,Sales,0.18854638607078095,Senior,Lead,0.43310793587396607
66,technical customer service manager flexible packaging,Customer Support,Sales,0.1931389518768765,Lead,Senior,0.7806726711182718
67,java software engineer,Information Technology,Project Management,0.3104959874253714,Senior,Senior,0.6010280652202263
68,new business manager,Business Development,Business Development,0.9316803782167206,Lead,Senior,0.8917193542469561
69,strategic engagement manager,Business Development,Project Management,0.2169583115358254,Lead,Senior,0.9309366777708411
70,projektmanager,Project Management,Project Management,0.9628842755934908,Senior,Lead,0.3713196136427504
71,innovationsberater,Consulting,Sales,0.18854638607078095,Senior,Lead,0.43310793587396607
72,head of aws preseed and seedfinancing innovative solutions,Other,Information Technology,0.24370263024185285,Lead,Lead,0.9602185145281067
73,director of product management,Project Management,Project Management,0.20176015063366975,Director,Director,0.9441635377815879
74,executive director of therapies and developmental services,Other,Sales,0.1893526441014967,Director,Director,0.9793287257165606
75,technical product developer data scientist,Information Technology,Project Management,0.22614697363866249,Senior,Senior,0.5004297096501975
76,projektmanager,Project Management,Project Management,0.9628842755934908,Senior,Lead,0.3713196136427504
77,project engineer process technology future farming,Information Technology,Project Management,0.7995371020761447,Senior,Senior,0.6910414807891202
78,kurucu ortak,Other,Sales,0.18854638607078095,Management,Lead,0.43310793587396607
79,digital marketing manager,Marketing,Marketing,0.9818615804949798,Senior,Senior,0.9783500658401272
80,trainer docent,Human Resources,Sales,0.18429385636917753,Senior,Lead,0.38537181264422926
81,procurement manager strategische inkoop,Purchasing,Project Management,0.16452335444310168,Senior,Senior,0.8768646688632635
82,conversion rate optimization manager,Marketing,Sales,0.274865246724202,Senior,Senior,0.943012678868421
83,partner,Business Development,Project Management,0.1712293145768787,Management,Management,0.3133758322936609
84,lead naval architect,Other,Information Technology,0.35658754072106613,Lead,Management,0.4937420261696538
